"industry","topic","post_covid_score","name","description"
"Restaurants & Fast Food","Strategy",NA,"Dairy Queen","Fast-food chain known for soft-serve treats"
"Restaurants & Fast Food","Leadership",1.249303218,"Dairy Queen","Fast-food chain known for soft-serve treats"
"Restaurants & Fast Food","Innovation",NA,"Dairy Queen","Fast-food chain known for soft-serve treats"
"Restaurants & Fast Food","Open to feedback",NA,"Dairy Queen","Fast-food chain known for soft-serve treats"
"Restaurants & Fast Food","Agility",NA,"Dairy Queen","Fast-food chain known for soft-serve treats"
"Life Sciences & Biopharma","Work-life balance",-0.042744213,"Danaher Diagnostics","Maker of diagnostic equipment and instruments"
"Life Sciences & Biopharma","Transparency",0.516778784,"Danaher Diagnostics","Maker of diagnostic equipment and instruments"
"Life Sciences & Biopharma","Toxic culture",-0.566091209,"Danaher Diagnostics","Maker of diagnostic equipment and instruments"
"Life Sciences & Biopharma","Supportive culture",-0.276487961,"Danaher Diagnostics","Maker of diagnostic equipment and instruments"
"Life Sciences & Biopharma","Strategy",-1.271778421,"Danaher Diagnostics","Maker of diagnostic equipment and instruments"
"Life Sciences & Biopharma","Leadership",-1.284926287,"Danaher Diagnostics","Maker of diagnostic equipment and instruments"
"Life Sciences & Biopharma","Innovation",-1.010688613,"Danaher Diagnostics","Maker of diagnostic equipment and instruments"
"Life Sciences & Biopharma","Open to feedback",-0.18547097,"Danaher Diagnostics","Maker of diagnostic equipment and instruments"
"Life Sciences & Biopharma","Agility",0.22848724,"Danaher Diagnostics","Maker of diagnostic equipment and instruments"
"Life Sciences & Biopharma","Work-life balance",0.047956905,"Danaher Life Sciences","Biotech tools"
"Life Sciences & Biopharma","Transparency",-2.761433877,"Danaher Life Sciences","Biotech tools"
"Life Sciences & Biopharma","Toxic culture",-0.652414464,"Danaher Life Sciences","Biotech tools"
"Life Sciences & Biopharma","Supportive culture",-1.311386428,"Danaher Life Sciences","Biotech tools"
"Life Sciences & Biopharma","Strategy",-0.850873323,"Danaher Life Sciences","Biotech tools"
"Life Sciences & Biopharma","Leadership",-1.594251186,"Danaher Life Sciences","Biotech tools"
"Life Sciences & Biopharma","Innovation",-0.061419376,"Danaher Life Sciences","Biotech tools"
"Life Sciences & Biopharma","Open to feedback",-1.880038632,"Danaher Life Sciences","Biotech tools"
"Life Sciences & Biopharma","Agility",-0.476386583,"Danaher Life Sciences","Biotech tools"
"Software & IT Services","Work-life balance",-1.346787642,"Datadog","Cloud monitoring and security platform"
"Software & IT Services","Transparency",-0.370202656,"Datadog","Cloud monitoring and security platform"
"Software & IT Services","Toxic culture",-1.605410032,"Datadog","Cloud monitoring and security platform"
"Software & IT Services","Supportive culture",-0.533730045,"Datadog","Cloud monitoring and security platform"
"Software & IT Services","Strategy",0.362747269,"Datadog","Cloud monitoring and security platform"
"Software & IT Services","Leadership",-0.624759756,"Datadog","Cloud monitoring and security platform"
"Software & IT Services","Innovation",1.104077375,"Datadog","Cloud monitoring and security platform"
"Software & IT Services","Open to feedback",-1.944977903,"Datadog","Cloud monitoring and security platform"
"Software & IT Services","Agility",0.798240862,"Datadog","Cloud monitoring and security platform"
"Restaurants & Fast Food","Work-life balance",-1.199281032,"Dave & Buster's","Restaurant and arcade entertainment chain"
"Restaurants & Fast Food","Transparency",NA,"Dave & Buster's","Restaurant and arcade entertainment chain"
"Restaurants & Fast Food","Toxic culture",-2.063025213,"Dave & Buster's","Restaurant and arcade entertainment chain"
"Restaurants & Fast Food","Supportive culture",-0.850298116,"Dave & Buster's","Restaurant and arcade entertainment chain"
"Restaurants & Fast Food","Strategy",NA,"Dave & Buster's","Restaurant and arcade entertainment chain"
"Restaurants & Fast Food","Leadership",-2.490446937,"Dave & Buster's","Restaurant and arcade entertainment chain"
"Restaurants & Fast Food","Innovation",NA,"Dave & Buster's","Restaurant and arcade entertainment chain"
"Restaurants & Fast Food","Open to feedback",NA,"Dave & Buster's","Restaurant and arcade entertainment chain"
"Restaurants & Fast Food","Agility",NA,"Dave & Buster's","Restaurant and arcade entertainment chain"
"Specialty Retail & Apparel","Work-life balance",-0.973222062,"David's Bridal","Wedding dress shop"
"Specialty Retail & Apparel","Transparency",NA,"David's Bridal","Wedding dress shop"
"Specialty Retail & Apparel","Toxic culture",-0.031096569,"David's Bridal","Wedding dress shop"
"Specialty Retail & Apparel","Supportive culture",-0.868528682,"David's Bridal","Wedding dress shop"
"Specialty Retail & Apparel","Strategy",NA,"David's Bridal","Wedding dress shop"
"Specialty Retail & Apparel","Leadership",0.010105126,"David's Bridal","Wedding dress shop"
"Specialty Retail & Apparel","Innovation",NA,"David's Bridal","Wedding dress shop"
"Specialty Retail & Apparel","Open to feedback",NA,"David's Bridal","Wedding dress shop"
"Specialty Retail & Apparel","Agility",NA,"David's Bridal","Wedding dress shop"
"Software & IT Services","Work-life balance",1.043578616,"Dayforce","Management software platform"
"Software & IT Services","Transparency",-0.643507649,"Dayforce","Management software platform"
"Software & IT Services","Toxic culture",0.562078866,"Dayforce","Management software platform"
"Software & IT Services","Supportive culture",0.833773958,"Dayforce","Management software platform"
"Software & IT Services","Strategy",0.398681841,"Dayforce","Management software platform"
"Software & IT Services","Leadership",0.263352524,"Dayforce","Management software platform"
"Software & IT Services","Innovation",0.936460513,"Dayforce","Management software platform"
"Software & IT Services","Open to feedback",0.437409073,"Dayforce","Management software platform"
"Software & IT Services","Agility",-0.331095026,"Dayforce","Management software platform"
"General Retail","Work-life balance",0.249358859,"Debenhams","Defunct British department store chain"
"General Retail","Transparency",NA,"Debenhams","Defunct British department store chain"
"General Retail","Toxic culture",0.907723703,"Debenhams","Defunct British department store chain"
"General Retail","Supportive culture",0.128248353,"Debenhams","Defunct British department store chain"
"General Retail","Strategy",NA,"Debenhams","Defunct British department store chain"
"General Retail","Leadership",0.53436445,"Debenhams","Defunct British department store chain"
"General Retail","Innovation",NA,"Debenhams","Defunct British department store chain"
"General Retail","Open to feedback",NA,"Debenhams","Defunct British department store chain"
"General Retail","Agility",NA,"Debenhams","Defunct British department store chain"
"Outsourcing & Staffing","Work-life balance",-1.296168837,"Delaware North","Hospitality and food service company"
"Outsourcing & Staffing","Transparency",NA,"Delaware North","Hospitality and food service company"
"Outsourcing & Staffing","Toxic culture",-1.269780993,"Delaware North","Hospitality and food service company"
"Outsourcing & Staffing","Supportive culture",-0.506173396,"Delaware North","Hospitality and food service company"
"Outsourcing & Staffing","Strategy",NA,"Delaware North","Hospitality and food service company"
"Outsourcing & Staffing","Leadership",-0.973284397,"Delaware North","Hospitality and food service company"
"Outsourcing & Staffing","Innovation",NA,"Delaware North","Hospitality and food service company"
"Outsourcing & Staffing","Open to feedback",NA,"Delaware North","Hospitality and food service company"
"Outsourcing & Staffing","Agility",NA,"Delaware North","Hospitality and food service company"
"Internet","Work-life balance",-0.514452895,"Deliveroo","British food delivery platform"
"Internet","Transparency",0.335096971,"Deliveroo","British food delivery platform"
"Internet","Toxic culture",0.222010208,"Deliveroo","British food delivery platform"
"Internet","Supportive culture",-0.163377013,"Deliveroo","British food delivery platform"
"Internet","Strategy",0.248769633,"Deliveroo","British food delivery platform"
"Internet","Leadership",0.202265316,"Deliveroo","British food delivery platform"
"Internet","Innovation",1.703740908,"Shopify","E-commerce platform for online retailers"
"Internet","Open to feedback",0.567918037,"Deliveroo","British food delivery platform"
"Internet","Agility",0.44757259,"Deliveroo","British food delivery platform"
"Tech Giants","Work-life balance",0.738472948,"Dell","Computer technology company"
"Tech Giants","Transparency",-1.441831072,"Dell","Computer technology company"
"Tech Giants","Toxic culture",-0.523741909,"Dell","Computer technology company"
"Tech Giants","Supportive culture",-0.230935269,"Dell","Computer technology company"
"Tech Giants","Strategy",-0.785136425,"Dell","Computer technology company"
"Tech Giants","Leadership",0.168776198,"Dell","Computer technology company"
"Tech Giants","Innovation",-0.752828379,"Dell","Computer technology company"
"Tech Giants","Open to feedback",-1.713070538,"Dell","Computer technology company"
"Tech Giants","Agility",0.612484301,"Dell","Computer technology company"
"Business Consulting","Work-life balance",-0.31777853,"Deloitte","Global professional services network"
"Business Consulting","Transparency",0.760631108,"Deloitte","Global professional services network"
"Business Consulting","Toxic culture",0.665367664,"Deloitte","Global professional services network"
"Business Consulting","Supportive culture",-0.567624392,"Deloitte","Global professional services network"
"Business Consulting","Strategy",0.686369468,"Deloitte","Global professional services network"
"Business Consulting","Leadership",0.640636945,"Deloitte","Global professional services network"
"Business Consulting","Innovation",NA,"Deloitte","Global professional services network"
"Business Consulting","Open to feedback",0.508175614,"Deloitte","Global professional services network"
"Business Consulting","Agility",0.050810056,"Deloitte","Global professional services network"
"Travel & Leisure","Work-life balance",-0.093958643,"Delta Air Lines","Major American airline"
"Travel & Leisure","Transparency",NA,"Delta Air Lines","Major American airline"
"Travel & Leisure","Toxic culture",1.247925768,"Delta Air Lines","Major American airline"
"Travel & Leisure","Supportive culture",0.72630657,"Delta Air Lines","Major American airline"
"Travel & Leisure","Strategy",NA,"Delta Air Lines","Major American airline"
"Travel & Leisure","Leadership",1.0396392,"Delta Air Lines","Major American airline"
"Travel & Leisure","Innovation",NA,"Delta Air Lines","Major American airline"
"Travel & Leisure","Open to feedback",NA,"Delta Air Lines","Major American airline"
"Travel & Leisure","Agility",NA,"Delta Air Lines","Major American airline"
"Restaurants & Fast Food","Work-life balance",-0.742837335,"Denny's","Diner-style restaurant chain"
"Restaurants & Fast Food","Transparency",NA,"Denny's","Diner-style restaurant chain"
"Restaurants & Fast Food","Toxic culture",-0.24228084,"Denny's","Diner-style restaurant chain"
"Restaurants & Fast Food","Supportive culture",-1.779583699,"Denny's","Diner-style restaurant chain"
"Restaurants & Fast Food","Strategy",NA,"Denny's","Diner-style restaurant chain"
"Restaurants & Fast Food","Leadership",-0.703310062,"Denny's","Diner-style restaurant chain"
"Restaurants & Fast Food","Innovation",NA,"Denny's","Diner-style restaurant chain"
"Restaurants & Fast Food","Open to feedback",NA,"Denny's","Diner-style restaurant chain"
"Restaurants & Fast Food","Agility",NA,"Denny's","Diner-style restaurant chain"
"Business Services","Work-life balance",0.767105783,"Dentsu","Japanese advertising and PR agency"
"Business Services","Transparency",-1.247942192,"Dentsu","Japanese advertising and PR agency"
"Business Services","Toxic culture",0.590569343,"Dentsu","Japanese advertising and PR agency"
"Business Services","Supportive culture",0.374773157,"Dentsu","Japanese advertising and PR agency"
"Business Services","Strategy",-1.699425528,"Dentsu","Japanese advertising and PR agency"
"Business Services","Leadership",-0.902027339,"Dentsu","Japanese advertising and PR agency"
"Business Services","Innovation",NA,"Dentsu","Japanese advertising and PR agency"
"Business Services","Open to feedback",-0.524346314,"Dentsu","Japanese advertising and PR agency"
"Business Services","Agility",-2.440280506,"Dentsu","Japanese advertising and PR agency"
"Financial Services","Work-life balance",0.851113646,"Desjardins","Canadian financial services cooperative"
"Financial Services","Transparency",1.15195167,"Desjardins","Canadian financial services cooperative"
"Financial Services","Toxic culture",0.832664931,"Desjardins","Canadian financial services cooperative"
"Financial Services","Supportive culture",0.939349632,"Desjardins","Canadian financial services cooperative"
"Financial Services","Strategy",0.914261185,"Desjardins","Canadian financial services cooperative"
"Financial Services","Leadership",1.308574639,"Desjardins","Canadian financial services cooperative"
"Financial Services","Innovation",NA,"Desjardins","Canadian financial services cooperative"
"Financial Services","Open to feedback",0.793672043,"Desjardins","Canadian financial services cooperative"
"Financial Services","Agility",-0.926595282,"Desjardins","Canadian financial services cooperative"
"Financial Services","Work-life balance",0.06089175,"Deutsche Bank","German multinational investment bank"
"Financial Services","Transparency",0.28103205,"Deutsche Bank","German multinational investment bank"
"Financial Services","Toxic culture",0.909504165,"Deutsche Bank","German multinational investment bank"
"Financial Services","Supportive culture",-0.469059361,"Deutsche Bank","German multinational investment bank"
"Financial Services","Strategy",0.498766014,"Deutsche Bank","German multinational investment bank"
"Financial Services","Leadership",0.21550059,"Deutsche Bank","German multinational investment bank"
"Financial Services","Innovation",NA,"Deutsche Bank","German multinational investment bank"
"Financial Services","Open to feedback",0.763246129,"Deutsche Bank","German multinational investment bank"
"Financial Services","Agility",-0.980234922,"Deutsche Bank","German multinational investment bank"
"Supply Chain & Logistics","Work-life balance",-0.041822737,"DHL Express","International courier and logistics provider"
"Supply Chain & Logistics","Transparency",NA,"DHL Express","International courier and logistics provider"
"Supply Chain & Logistics","Toxic culture",0.673991404,"DHL Express","International courier and logistics provider"
"Supply Chain & Logistics","Supportive culture",1.283187569,"DHL Express","International courier and logistics provider"
"Supply Chain & Logistics","Strategy",NA,"DHL Express","International courier and logistics provider"
"Supply Chain & Logistics","Leadership",0.254047129,"DHL Express","International courier and logistics provider"
"Supply Chain & Logistics","Innovation",NA,"DHL Express","International courier and logistics provider"
"Supply Chain & Logistics","Open to feedback",NA,"DHL Express","International courier and logistics provider"
"Supply Chain & Logistics","Agility",NA,"DHL Express","International courier and logistics provider"
"Supply Chain & Logistics","Work-life balance",0.15045676,"DHL Supply Chain","Logistics division offering supply chain solutions"
"Supply Chain & Logistics","Transparency",NA,"DHL Supply Chain","Logistics division offering supply chain solutions"
"Supply Chain & Logistics","Toxic culture",0.151874579,"DHL Supply Chain","Logistics division offering supply chain solutions"
"Supply Chain & Logistics","Supportive culture",0.504624184,"DHL Supply Chain","Logistics division offering supply chain solutions"
"Supply Chain & Logistics","Strategy",NA,"DHL Supply Chain","Logistics division offering supply chain solutions"
"Supply Chain & Logistics","Leadership",-0.326803143,"DHL Supply Chain","Logistics division offering supply chain solutions"
"Supply Chain & Logistics","Innovation",NA,"DHL Supply Chain","Logistics division offering supply chain solutions"
"Supply Chain & Logistics","Open to feedback",NA,"DHL Supply Chain","Logistics division offering supply chain solutions"
"Supply Chain & Logistics","Agility",NA,"DHL Supply Chain","Logistics division offering supply chain solutions"
"Specialty Retail & Apparel","Work-life balance",0.776053465,"DICK's Sporting Goods","Sports equipment and apparel retailer"
"Specialty Retail & Apparel","Transparency",NA,"DICK's Sporting Goods","Sports equipment and apparel retailer"
"Specialty Retail & Apparel","Toxic culture",0.915483447,"DICK's Sporting Goods","Sports equipment and apparel retailer"
"Specialty Retail & Apparel","Supportive culture",0.600565483,"DICK's Sporting Goods","Sports equipment and apparel retailer"
"Specialty Retail & Apparel","Strategy",NA,"DICK's Sporting Goods","Sports equipment and apparel retailer"
"Specialty Retail & Apparel","Leadership",0.426526031,"DICK's Sporting Goods","Sports equipment and apparel retailer"
"Specialty Retail & Apparel","Innovation",NA,"DICK's Sporting Goods","Sports equipment and apparel retailer"
"Specialty Retail & Apparel","Open to feedback",NA,"DICK's Sporting Goods","Sports equipment and apparel retailer"
"Specialty Retail & Apparel","Agility",NA,"DICK's Sporting Goods","Sports equipment and apparel retailer"
"General Retail","Work-life balance",-1.48514129,"Dillard's","Department store chain in the US"
"General Retail","Transparency",NA,"Dillard's","Department store chain in the US"
"General Retail","Toxic culture",-3.134260637,"Dillard's","Department store chain in the US"
"General Retail","Supportive culture",-0.979156803,"Dillard's","Department store chain in the US"
"General Retail","Strategy",NA,"Dillard's","Department store chain in the US"
"General Retail","Leadership",-1.282070654,"Dillard's","Department store chain in the US"
"General Retail","Innovation",NA,"Dillard's","Department store chain in the US"
"General Retail","Open to feedback",NA,"Dillard's","Department store chain in the US"
"General Retail","Agility",NA,"Dillard's","Department store chain in the US"
"Insurance","Work-life balance",0.142753449,"Direct Line","UK-based insurance company"
"Insurance","Transparency",0.908975383,"Direct Line","UK-based insurance company"
"Insurance","Toxic culture",-0.534210825,"Direct Line","UK-based insurance company"
"Insurance","Supportive culture",-0.135289001,"Direct Line","UK-based insurance company"
"Insurance","Strategy",-0.76448761,"Direct Line","UK-based insurance company"
"Insurance","Leadership",-1.346029167,"Direct Line","UK-based insurance company"
"Insurance","Innovation",NA,"Direct Line","UK-based insurance company"
"Insurance","Open to feedback",-0.1943687,"Direct Line","UK-based insurance company"
"Insurance","Agility",-2.027806542,"Direct Line","UK-based insurance company"
"Specialty Retail & Apparel","Work-life balance",-1.301083294,"Discount Tire","Independent tire and wheel retailer"
"Specialty Retail & Apparel","Transparency",NA,"Discount Tire","Independent tire and wheel retailer"
"Specialty Retail & Apparel","Toxic culture",1.162352517,"Discount Tire","Independent tire and wheel retailer"
"Specialty Retail & Apparel","Supportive culture",1.00894976,"Discount Tire","Independent tire and wheel retailer"
"Specialty Retail & Apparel","Strategy",NA,"Discount Tire","Independent tire and wheel retailer"
"Specialty Retail & Apparel","Leadership",1.510172776,"Discount Tire","Independent tire and wheel retailer"
"Specialty Retail & Apparel","Innovation",NA,"Discount Tire","Independent tire and wheel retailer"
"Specialty Retail & Apparel","Open to feedback",NA,"Discount Tire","Independent tire and wheel retailer"
"Specialty Retail & Apparel","Agility",NA,"Discount Tire","Independent tire and wheel retailer"
"Financial Services","Work-life balance",1.241146483,"Discover","Financial services company and card issuer"
"Financial Services","Transparency",-1.012360932,"Discover","Financial services company and card issuer"
"Financial Services","Toxic culture",0.431350468,"Discover","Financial services company and card issuer"
"Financial Services","Supportive culture",0.640520696,"Discover","Financial services company and card issuer"
"Financial Services","Strategy",-0.128177526,"Discover","Financial services company and card issuer"
"Financial Services","Leadership",-0.039654367,"Discover","Financial services company and card issuer"
"Financial Services","Innovation",NA,"Discover","Financial services company and card issuer"
"Financial Services","Open to feedback",-0.185882355,"Discover","Financial services company and card issuer"
"Financial Services","Agility",0.684416187,"Discover","Financial services company and card issuer"
"Telecommunications","Work-life balance",-1.815656476,"DISH","Satellite television provider"
"Telecommunications","Transparency",-0.538366557,"DISH","Satellite television provider"
"Telecommunications","Toxic culture",-2.354609153,"DISH","Satellite television provider"
"Telecommunications","Supportive culture",-1.10099388,"DISH","Satellite television provider"
"Telecommunications","Strategy",-0.004276802,"DISH","Satellite television provider"
"Telecommunications","Leadership",-1.211531497,"DISH","Satellite television provider"
"Telecommunications","Innovation",NA,"DISH","Satellite television provider"
"Telecommunications","Open to feedback",-1.842480081,"DISH","Satellite television provider"
"Telecommunications","Agility",0.684150854,"DISH","Satellite television provider"
"Media & Entertainment","Work-life balance",-1.541108967,"Disney","Entertainment conglomerate"
"Media & Entertainment","Transparency",0.708724937,"Disney","Entertainment conglomerate"
"Media & Entertainment","Toxic culture",0.306418841,"Disney","Entertainment conglomerate"
"Media & Entertainment","Supportive culture",-0.706728107,"Disney","Entertainment conglomerate"
"Media & Entertainment","Strategy",0.453276875,"Disney","Entertainment conglomerate"
"Media & Entertainment","Leadership",0.546967667,"Disney","Entertainment conglomerate"
"Media & Entertainment","Innovation",0.106540483,"Disney","Entertainment conglomerate"
"Media & Entertainment","Open to feedback",0.716104079,"Disney","Entertainment conglomerate"
"Media & Entertainment","Agility",0.419709848,"Disney","Entertainment conglomerate"
"Travel & Leisure","Work-life balance",-2.439181167,"Disney Experiences","Division overseeing Disney theme parks"
"Travel & Leisure","Transparency",NA,"Disney Experiences","Division overseeing Disney theme parks"
"Travel & Leisure","Toxic culture",-0.898292719,"Disney Experiences","Division overseeing Disney theme parks"
"Travel & Leisure","Supportive culture",-0.540252011,"Disney Experiences","Division overseeing Disney theme parks"
"Travel & Leisure","Strategy",NA,"Disney Experiences","Division overseeing Disney theme parks"
"Travel & Leisure","Leadership",-0.510966743,"Disney Experiences","Division overseeing Disney theme parks"
"Travel & Leisure","Innovation",NA,"Disney Experiences","Division overseeing Disney theme parks"
"Travel & Leisure","Open to feedback",NA,"Disney Experiences","Division overseeing Disney theme parks"
"Travel & Leisure","Agility",NA,"Disney Experiences","Division overseeing Disney theme parks"
"Software & IT Services","Work-life balance",-0.173346177,"DocuSign","E-signature and digital contract platform"
"Software & IT Services","Transparency",-2.910702595,"DocuSign","E-signature and digital contract platform"
"Software & IT Services","Toxic culture",-0.881841482,"DocuSign","E-signature and digital contract platform"
"Software & IT Services","Supportive culture",0.044327757,"DocuSign","E-signature and digital contract platform"
"Software & IT Services","Strategy",-1.736301062,"DocuSign","E-signature and digital contract platform"
"Software & IT Services","Leadership",-1.377329831,"DocuSign","E-signature and digital contract platform"
"Software & IT Services","Innovation",-0.680553238,"DocuSign","E-signature and digital contract platform"
"Software & IT Services","Open to feedback",-1.484554284,"DocuSign","E-signature and digital contract platform"
"Software & IT Services","Agility",0.254534332,"DocuSign","E-signature and digital contract platform"
"General Retail","Work-life balance",-1.69528858,"Dollar General","Discount retail chain in the US"
"General Retail","Transparency",NA,"Dollar General","Discount retail chain in the US"
"General Retail","Toxic culture",-0.130847618,"Dollar General","Discount retail chain in the US"
"General Retail","Supportive culture",-2.315082934,"Dollar General","Discount retail chain in the US"
"General Retail","Strategy",NA,"Dollar General","Discount retail chain in the US"
"General Retail","Leadership",-0.2887749,"Dollar General","Discount retail chain in the US"
"General Retail","Innovation",NA,"Dollar General","Discount retail chain in the US"
"General Retail","Open to feedback",NA,"Dollar General","Discount retail chain in the US"
"General Retail","Agility",NA,"Dollar General","Discount retail chain in the US"
"General Retail","Work-life balance",-0.175487394,"Dollar Tree","American discount store"
"General Retail","Transparency",NA,"Dollar Tree","American discount store"
"General Retail","Toxic culture",-0.173529894,"Dollar Tree","American discount store"
"General Retail","Supportive culture",-1.275087118,"Dollar Tree","American discount store"
"General Retail","Strategy",NA,"Dollar Tree","American discount store"
"General Retail","Leadership",0.267175169,"Dollar Tree","American discount store"
"General Retail","Innovation",NA,"Dollar Tree","American discount store"
"General Retail","Open to feedback",NA,"Dollar Tree","American discount store"
"General Retail","Agility",NA,"Dollar Tree","American discount store"
"General Retail","Work-life balance",0.91006651,"Dollarama","Canadian chain of dollar stores"
"General Retail","Transparency",NA,"Dollarama","Canadian chain of dollar stores"
"General Retail","Toxic culture",0.363370096,"Dollarama","Canadian chain of dollar stores"
"General Retail","Supportive culture",0.699824388,"Dollarama","Canadian chain of dollar stores"
"General Retail","Strategy",NA,"Dollarama","Canadian chain of dollar stores"
"General Retail","Leadership",0.935449146,"Dollarama","Canadian chain of dollar stores"
"General Retail","Innovation",NA,"Dollarama","Canadian chain of dollar stores"
"General Retail","Open to feedback",NA,"Dollarama","Canadian chain of dollar stores"
"General Retail","Agility",NA,"Dollarama","Canadian chain of dollar stores"
"Restaurants & Fast Food","Work-life balance",0.467359831,"Domino's","Pizza delivery franchise"
"Restaurants & Fast Food","Transparency",NA,"Domino's","Pizza delivery franchise"
"Restaurants & Fast Food","Toxic culture",0.875453194,"Domino's","Pizza delivery franchise"
"Restaurants & Fast Food","Supportive culture",-0.484223422,"Domino's","Pizza delivery franchise"
"Restaurants & Fast Food","Strategy",NA,"Domino's","Pizza delivery franchise"
"Restaurants & Fast Food","Leadership",0.43662372,"Domino's","Pizza delivery franchise"
"Restaurants & Fast Food","Innovation",NA,"Domino's","Pizza delivery franchise"
"Restaurants & Fast Food","Open to feedback",NA,"Domino's","Pizza delivery franchise"
"Restaurants & Fast Food","Agility",NA,"Domino's","Pizza delivery franchise"
"Restaurants & Fast Food","Work-life balance",-0.023863625,"Domino's UK","UK branch of Domino's Pizza"
"Restaurants & Fast Food","Transparency",NA,"Domino's UK","UK branch of Domino's Pizza"
"Restaurants & Fast Food","Toxic culture",1.064097332,"Domino's UK","UK branch of Domino's Pizza"
"Restaurants & Fast Food","Supportive culture",-0.075214838,"Domino's UK","UK branch of Domino's Pizza"
"Restaurants & Fast Food","Strategy",NA,"Domino's UK","UK branch of Domino's Pizza"
"Restaurants & Fast Food","Leadership",1.208787513,"Domino's UK","UK branch of Domino's Pizza"
"Restaurants & Fast Food","Innovation",NA,"Domino's UK","UK branch of Domino's Pizza"
"Restaurants & Fast Food","Open to feedback",NA,"Domino's UK","UK branch of Domino's Pizza"
"Restaurants & Fast Food","Agility",NA,"Domino's UK","UK branch of Domino's Pizza"
"Internet","Work-life balance",0.746683056,"DoorDash","Food delivery service in the US"
"Internet","Transparency",1.136050085,"DoorDash","Food delivery service in the US"
"Internet","Toxic culture",0.468663729,"DoorDash","Food delivery service in the US"
"Internet","Supportive culture",-1.032506444,"DoorDash","Food delivery service in the US"
"Internet","Strategy",1.411032626,"DoorDash","Food delivery service in the US"
"Internet","Leadership",1.574506099,"DoorDash","Food delivery service in the US"
"Internet","Innovation",0.755990147,"Zillow","Online real estate marketplace"
"Internet","Open to feedback",0.715384766,"DoorDash","Food delivery service in the US"
"Internet","Agility",0.953874304,"DoorDash","Food delivery service in the US"
"Industrials","Work-life balance",0.537031343,"Dow","Chemicals and materials"
"Industrials","Transparency",1.261693944,"Dow","Chemicals and materials"
"Industrials","Toxic culture",1.595733677,"Dow","Chemicals and materials"
"Industrials","Supportive culture",0.331461291,"Dow","Chemicals and materials"
"Industrials","Strategy",0.259473269,"Dow","Chemicals and materials"
"Industrials","Leadership",0.765820512,"Dow","Chemicals and materials"
"Industrials","Innovation",-0.657472425,"Dow","Chemicals and materials"
"Industrials","Open to feedback",0.977807919,"Dow","Chemicals and materials"
"Industrials","Agility",-0.591677687,"Dow","Chemicals and materials"
"Software & IT Services","Work-life balance",2.236627697,"Dropbox","Cloud storage and collaboration platform"
"Software & IT Services","Transparency",1.16085209,"Dropbox","Cloud storage and collaboration platform"
"Software & IT Services","Toxic culture",2.414442116,"Dropbox","Cloud storage and collaboration platform"
"Software & IT Services","Supportive culture",3.02507647,"Dropbox","Cloud storage and collaboration platform"
"Software & IT Services","Strategy",-3.209130017,"Dropbox","Cloud storage and collaboration platform"
"Software & IT Services","Leadership",-0.030566105,"Dropbox","Cloud storage and collaboration platform"
"Software & IT Services","Innovation",-2.746054757,"Dropbox","Cloud storage and collaboration platform"
"Software & IT Services","Open to feedback",1.641649489,"Dropbox","Cloud storage and collaboration platform"
"Software & IT Services","Agility",-2.540995839,"Dropbox","Cloud storage and collaboration platform"
"Supply Chain & Logistics","Work-life balance",0.518802839,"DSV","Global transport and logistics company"
"Supply Chain & Logistics","Transparency",NA,"DSV","Global transport and logistics company"
"Supply Chain & Logistics","Toxic culture",-1.287603921,"DSV","Global transport and logistics company"
"Supply Chain & Logistics","Supportive culture",-0.316032408,"DSV","Global transport and logistics company"
"Supply Chain & Logistics","Strategy",NA,"DSV","Global transport and logistics company"
"Supply Chain & Logistics","Leadership",-1.428260532,"DSV","Global transport and logistics company"
"Supply Chain & Logistics","Innovation",NA,"DSV","Global transport and logistics company"
"Supply Chain & Logistics","Open to feedback",NA,"DSV","Global transport and logistics company"
"Supply Chain & Logistics","Agility",NA,"DSV","Global transport and logistics company"
"Specialty Retail & Apparel","Work-life balance",1.575375559,"DSW","Footwear retailer known for designer deals"
"Specialty Retail & Apparel","Transparency",NA,"DSW","Footwear retailer known for designer deals"
"Specialty Retail & Apparel","Toxic culture",0.845123221,"DSW","Footwear retailer known for designer deals"
"Specialty Retail & Apparel","Supportive culture",0.095262454,"DSW","Footwear retailer known for designer deals"
"Specialty Retail & Apparel","Strategy",NA,"DSW","Footwear retailer known for designer deals"
"Specialty Retail & Apparel","Leadership",1.034132924,"DSW","Footwear retailer known for designer deals"
"Specialty Retail & Apparel","Innovation",NA,"DSW","Footwear retailer known for designer deals"
"Specialty Retail & Apparel","Open to feedback",NA,"DSW","Footwear retailer known for designer deals"
"Specialty Retail & Apparel","Agility",NA,"DSW","Footwear retailer known for designer deals"
"Restaurants & Fast Food","Work-life balance",0.562473724,"Dunkinâ€™","Coffee and doughnut chain"
"Restaurants & Fast Food","Transparency",NA,"Dunkinâ€™","Coffee and doughnut chain"
"Restaurants & Fast Food","Toxic culture",0.175375102,"Dunkinâ€™","Coffee and doughnut chain"
"Restaurants & Fast Food","Supportive culture",-1.227425828,"Dunkinâ€™","Coffee and doughnut chain"
"Restaurants & Fast Food","Strategy",NA,"Dunkinâ€™","Coffee and doughnut chain"
"Restaurants & Fast Food","Leadership",-0.590664373,"Dunkinâ€™","Coffee and doughnut chain"
"Restaurants & Fast Food","Innovation",NA,"Dunkinâ€™","Coffee and doughnut chain"
