id,cons,pain points
150,"No evidence to support D&I in the workplace
Very 'cliquey'
Great for graduates but not good for qualified/experienced hires
No regard for individuality",lack of regard for individuality
151,"Long hours, no other cons",long hours
152,can be scary for someone who isn't comfortable in the grey area or with ambiguous unclear tasks with minimal guidance,unclear tasks
152,can be scary for someone who isn't comfortable in the grey area or with ambiguous unclear tasks with minimal guidance,minimal guidance
152,can be scary for someone who isn't comfortable in the grey area or with ambiguous unclear tasks with minimal guidance,ambiguity
152,can be scary for someone who isn't comfortable in the grey area or with ambiguous unclear tasks with minimal guidance,grey area
153,Work Life balance can be put at risk,risk to work life balance
154,work can be so broing,boring work
155,Can be left to fend for yourself,lack of support
156,Sometimes can be challenging to meet client demands requiring long hours.,challenging to meet client demands
156,Sometimes can be challenging to meet client demands requiring long hours.,long hours
157,sometimes long hours and lacking work life balance,long hours
157,sometimes long hours and lacking work life balance,lacking work life balance
158,"People, culture, hiring process and lack of partner support",people
158,"People, culture, hiring process and lack of partner support",negative culture
158,"People, culture, hiring process and lack of partner support",poor hiring process
158,"People, culture, hiring process and lack of partner support",lack of partner support
159,I had an extremely positive experience,
160,You spend time doing work only for the partners to ignore and do their own thing because they know HR better than you do.,partners ignoring work
160,You spend time doing work only for the partners to ignore and do their own thing because they know HR better than you do.,feeling of work being disregarded
161,can be very busy at times,busy workload at times
162,Bureaucracy and politics do exist,bureaucracy
162,Bureaucracy and politics do exist,politics
163,"None, great place to work",
164,Sometimes hours can be long,long working hours
165,Partner politics could make career progression,partner politics affecting career progression
166,long work hours and poor work life balance,long work hours
166,long work hours and poor work life balance,poor work life balance
167,Lower than market pay compared to peers,lower than market pay
168,High pressure work environment and very competitive,high pressure work environment
168,High pressure work environment and very competitive,competitive work environment
169,"none really, nice people and good food",
170,"Poor salary
Crap work life balance - constantly working overtime (unpaid of course)",poor salary
170,"Poor salary
Crap work life balance - constantly working overtime (unpaid of course)",crap work life balance
170,"Poor salary
Crap work life balance - constantly working overtime (unpaid of course)",constant unpaid overtime
171,Hard to identify with the product sold in professional services,difficulty identifying product in professional services
172,High expectations for level of renumeration,high expectations for level of renumeration
173,Group projects can get complicated especially when deadlines do get involved.,complicated group projects
173,Group projects can get complicated especially when deadlines do get involved.,involvement of deadlines
174,"low pay compared to market, progression is snailspace",low pay
174,"low pay compared to market, progression is snailspace",slow progression
175,Insane gossip and office politics that decide assignments. Little actual expertise just selling bs and repetitive work to clients. Race to the bottom,insane gossip
175,Insane gossip and office politics that decide assignments. Little actual expertise just selling bs and repetitive work to clients. Race to the bottom,office politics deciding assignments
175,Insane gossip and office politics that decide assignments. Little actual expertise just selling bs and repetitive work to clients. Race to the bottom,lack of actual expertise
175,Insane gossip and office politics that decide assignments. Little actual expertise just selling bs and repetitive work to clients. Race to the bottom,repetitive work
175,Insane gossip and office politics that decide assignments. Little actual expertise just selling bs and repetitive work to clients. Race to the bottom,racing to the bottom
176,Insane gossip and office politics that decide assignments. Little actual expertise just selling bs and repetitive work to clients. Race to the bottom,insane gossip
176,Insane gossip and office politics that decide assignments. Little actual expertise just selling bs and repetitive work to clients. Race to the bottom,office politics deciding assignments
176,Insane gossip and office politics that decide assignments. Little actual expertise just selling bs and repetitive work to clients. Race to the bottom,lack of actual expertise
176,Insane gossip and office politics that decide assignments. Little actual expertise just selling bs and repetitive work to clients. Race to the bottom,repetitive work
176,Insane gossip and office politics that decide assignments. Little actual expertise just selling bs and repetitive work to clients. Race to the bottom,racing to the bottom
177,"workload quite demanding, pay at Junior levels not great",demanding workload
177,"workload quite demanding, pay at Junior levels not great",poor pay at Junior levels
178,Sometimes they don't push back on the client when needed,failure to push back on clients when necessary
179,long working hours and low pay,long working hours
179,long working hours and low pay,low pay
180,long working hours and low pay,long working hours
180,long working hours and low pay,low pay
181,Work not particularly stimulating and pay can be low for work hours.,not stimulating work
181,Work not particularly stimulating and pay can be low for work hours.,low pay for work hours
182,Work-life balance is not considered,lack of work-life balance
183,"Terrible company to work for, ethos and management both awful",terrible company to work for
183,"Terrible company to work for, ethos and management both awful",awful ethos
183,"Terrible company to work for, ethos and management both awful",awful management
184,"Terrible company to work for, ethos and management both awful",terrible company to work for
184,"Terrible company to work for, ethos and management both awful",awful ethos
184,"Terrible company to work for, ethos and management both awful",awful management
185,Timeline and nasty client and alot of documentations,unrealistic timeline
185,Timeline and nasty client and alot of documentations,difficult client
185,Timeline and nasty client and alot of documentations,excessive documentation
186,"Too much ""we are the best"" culture",excessive 'we are the best' culture
187,Minimal incentives beyond base pay,minimal incentives beyond base pay
188,Pay is below market. Partners take all the money.,below market pay
188,Pay is below market. Partners take all the money.,partners taking all the money
189,Mixed decisions for Covid-19 pandemic,mixed decisions for Covid-19 pandemic
190,Massive hours - 55-60 per week is standard. Woeful pay. We claim to be a Tier 1 firm but pay Tier 3 salaries. The bonus scheme is also very weak.,massive hours
190,Massive hours - 55-60 per week is standard. Woeful pay. We claim to be a Tier 1 firm but pay Tier 3 salaries. The bonus scheme is also very weak.,woeful pay
190,Massive hours - 55-60 per week is standard. Woeful pay. We claim to be a Tier 1 firm but pay Tier 3 salaries. The bonus scheme is also very weak.,weak bonus scheme
191,"Very competitive, high performance and political environment",competitive environment
191,"Very competitive, high performance and political environment",high performance expectations
191,"Very competitive, high performance and political environment",political environment
192,"Very competitive, high performance and political environment",competitive environment
192,"Very competitive, high performance and political environment",high performance expectations
192,"Very competitive, high performance and political environment",political environment
193,Too much Travelling during the week for projects,excessive travel during the week for projects
194,promotion schedule can be quite strict,strict promotion schedule
195,Long Hours and Low pay for the work compared to other industries,long hours
195,Long Hours and Low pay for the work compared to other industries,low pay
196,Uninteresting projects and lack of control over career and work,uninteresting projects
196,Uninteresting projects and lack of control over career and work,lack of control over career and work
197,"Below industry pay, perception to outsiders is that we earn far more than we do.

They cut pensions and bonuses due to covid yet always talk about strong pipelines - it doesn’t make sense",below industry pay
197,"Below industry pay, perception to outsiders is that we earn far more than we do.

They cut pensions and bonuses due to covid yet always talk about strong pipelines - it doesn’t make sense",cuts to pensions and bonuses
197,"Below industry pay, perception to outsiders is that we earn far more than we do.

They cut pensions and bonuses due to covid yet always talk about strong pipelines - it doesn’t make sense",perceived high salaries
197,"Below industry pay, perception to outsiders is that we earn far more than we do.

They cut pensions and bonuses due to covid yet always talk about strong pipelines - it doesn’t make sense",inconsistent messaging about financial stability
198,Not to much career development for the UK office,limited career development opportunities in the UK office
199,Long working hours - it's a consultancy company!,long working hours
200,Long working hours - it's a consultancy company!,long working hours
201,"Nothing to suggest, everything is great",
202,"Not immune to corporate politics, 2020 has seen lot of negative changes but hopeful these will improve again with time",not immune to corporate politics
202,"Not immune to corporate politics, 2020 has seen lot of negative changes but hopeful these will improve again with time",negative changes in 2020
203,"Progression, political, work life balance, salary, bonus",lack of progression
203,"Progression, political, work life balance, salary, bonus",politics at work
203,"Progression, political, work life balance, salary, bonus",dissatisfaction with salary
203,"Progression, political, work life balance, salary, bonus",lack of bonuses
204,"Long hours, Heavy workload, Hard to network",long hours
204,"Long hours, Heavy workload, Hard to network",heavy workload
204,"Long hours, Heavy workload, Hard to network",hard to network
205,"Progression, political, work life balance, salary, bonus",lack of progression
205,"Progression, political, work life balance, salary, bonus",politics at work
205,"Progression, political, work life balance, salary, bonus",dissatisfaction with salary
205,"Progression, political, work life balance, salary, bonus",lack of bonuses
206,Lack of opportunities for growth,lack of opportunities for growth
207,Difficult to get recognition and reward,difficulty getting recognition and rewards
208,Difficult to get recognition and reward,difficulty getting recognition and rewards
209,Very low starting salary compared to the same position within Big 4.,very low starting salary compared to Big 4
210,Very low starting salary compared to the same position within Big 4.,very low starting salary compared to Big 4
211,"Hierarchical culture, some bad eggs spoiling it for others",hierarchical culture
211,"Hierarchical culture, some bad eggs spoiling it for others",bad eggs spoiling the culture
212,A lot of hoops to jump through for promotion,hoops to jump through for promotion
213,A lot of hoops to jump through for promotion,hoops to jump through for promotion
214,High pressure and working hours,high pressure
214,High pressure and working hours,long working hours
215,High pressure and working hours,high pressure
215,High pressure and working hours,long working hours
216,"Long hours, difficult work life balance",long hours
216,"Long hours, difficult work life balance",difficult work-life balance
217,Limited path to partner if you are not a sales person,limited career path for non-sales personnel
218,The workload is often ridiculous and you don't get any thanks or credit for working evenings and weekends (which is completely unpaid).,ridiculous workload
218,The workload is often ridiculous and you don't get any thanks or credit for working evenings and weekends (which is completely unpaid).,unpaid evening and weekend work
219,The workload is often ridiculous and you don't get any thanks or credit for working evenings and weekends (which is completely unpaid).,ridiculous workload
219,The workload is often ridiculous and you don't get any thanks or credit for working evenings and weekends (which is completely unpaid).,unpaid evening and weekend work
220,Pay can be a little less.,lower than expected pay
221,"None, no other cons for me",
222,"None, no other cons for me",
223,Complex and out of date career path and development. Not good for experienced hires.,complex and outdated career path
223,Complex and out of date career path and development. Not good for experienced hires.,not good for experienced hires
224,They’re just here for profit.,lack of concern for anything other than profit
225,The companies technical capabilities are not fit for purpose.,inadequate technical capabilities
226,Low salary and benefits at lower levels,low salary
226,Low salary and benefits at lower levels,low benefits at lower levels
227,"Poor training, long hours, poor work life balance",poor training
227,"Poor training, long hours, poor work life balance",long hours
227,"Poor training, long hours, poor work life balance",poor work life balance
228,could be improved in some areas,could be improved in some areas
229,"The firm is ambitious and seeks, like many others, to get more from less. It spreads itself and its people too thin, is unable to truly become an expert in something, and will expect non-chargeable work like business development to be done no matter how many days a week you're spending on chargeable projects. Your 35 hour week contract is never met and your days are hugely fragmented. Partners not always present. It's a sink or swim company.

It's pushing a big, aggressively liberal left-modernist agenda on people, changing its in-house assessment criteria based on race, and has gone overboard on diversity and inclusion. It's getting folks down and ruffling feathers with the constant training / messaging.",firm is too ambitious
229,"The firm is ambitious and seeks, like many others, to get more from less. It spreads itself and its people too thin, is unable to truly become an expert in something, and will expect non-chargeable work like business development to be done no matter how many days a week you're spending on chargeable projects. Your 35 hour week contract is never met and your days are hugely fragmented. Partners not always present. It's a sink or swim company.

It's pushing a big, aggressively liberal left-modernist agenda on people, changing its in-house assessment criteria based on race, and has gone overboard on diversity and inclusion. It's getting folks down and ruffling feathers with the constant training / messaging.",spreads itself and its people too thin
229,"The firm is ambitious and seeks, like many others, to get more from less. It spreads itself and its people too thin, is unable to truly become an expert in something, and will expect non-chargeable work like business development to be done no matter how many days a week you're spending on chargeable projects. Your 35 hour week contract is never met and your days are hugely fragmented. Partners not always present. It's a sink or swim company.

It's pushing a big, aggressively liberal left-modernist agenda on people, changing its in-house assessment criteria based on race, and has gone overboard on diversity and inclusion. It's getting folks down and ruffling feathers with the constant training / messaging.",unable to become an expert
229,"The firm is ambitious and seeks, like many others, to get more from less. It spreads itself and its people too thin, is unable to truly become an expert in something, and will expect non-chargeable work like business development to be done no matter how many days a week you're spending on chargeable projects. Your 35 hour week contract is never met and your days are hugely fragmented. Partners not always present. It's a sink or swim company.

It's pushing a big, aggressively liberal left-modernist agenda on people, changing its in-house assessment criteria based on race, and has gone overboard on diversity and inclusion. It's getting folks down and ruffling feathers with the constant training / messaging.",expects non-chargeable work
229,"The firm is ambitious and seeks, like many others, to get more from less. It spreads itself and its people too thin, is unable to truly become an expert in something, and will expect non-chargeable work like business development to be done no matter how many days a week you're spending on chargeable projects. Your 35 hour week contract is never met and your days are hugely fragmented. Partners not always present. It's a sink or swim company.

It's pushing a big, aggressively liberal left-modernist agenda on people, changing its in-house assessment criteria based on race, and has gone overboard on diversity and inclusion. It's getting folks down and ruffling feathers with the constant training / messaging.",35 hour week contract never met
229,"The firm is ambitious and seeks, like many others, to get more from less. It spreads itself and its people too thin, is unable to truly become an expert in something, and will expect non-chargeable work like business development to be done no matter how many days a week you're spending on chargeable projects. Your 35 hour week contract is never met and your days are hugely fragmented. Partners not always present. It's a sink or swim company.

It's pushing a big, aggressively liberal left-modernist agenda on people, changing its in-house assessment criteria based on race, and has gone overboard on diversity and inclusion. It's getting folks down and ruffling feathers with the constant training / messaging.",days are fragmented
229,"The firm is ambitious and seeks, like many others, to get more from less. It spreads itself and its people too thin, is unable to truly become an expert in something, and will expect non-chargeable work like business development to be done no matter how many days a week you're spending on chargeable projects. Your 35 hour week contract is never met and your days are hugely fragmented. Partners not always present. It's a sink or swim company.

It's pushing a big, aggressively liberal left-modernist agenda on people, changing its in-house assessment criteria based on race, and has gone overboard on diversity and inclusion. It's getting folks down and ruffling feathers with the constant training / messaging.",partners not always present
229,"The firm is ambitious and seeks, like many others, to get more from less. It spreads itself and its people too thin, is unable to truly become an expert in something, and will expect non-chargeable work like business development to be done no matter how many days a week you're spending on chargeable projects. Your 35 hour week contract is never met and your days are hugely fragmented. Partners not always present. It's a sink or swim company.

It's pushing a big, aggressively liberal left-modernist agenda on people, changing its in-house assessment criteria based on race, and has gone overboard on diversity and inclusion. It's getting folks down and ruffling feathers with the constant training / messaging.",aggressive liberal left-modernist agenda
229,"The firm is ambitious and seeks, like many others, to get more from less. It spreads itself and its people too thin, is unable to truly become an expert in something, and will expect non-chargeable work like business development to be done no matter how many days a week you're spending on chargeable projects. Your 35 hour week contract is never met and your days are hugely fragmented. Partners not always present. It's a sink or swim company.

It's pushing a big, aggressively liberal left-modernist agenda on people, changing its in-house assessment criteria based on race, and has gone overboard on diversity and inclusion. It's getting folks down and ruffling feathers with the constant training / messaging.",changes assessment criteria based on race
229,"The firm is ambitious and seeks, like many others, to get more from less. It spreads itself and its people too thin, is unable to truly become an expert in something, and will expect non-chargeable work like business development to be done no matter how many days a week you're spending on chargeable projects. Your 35 hour week contract is never met and your days are hugely fragmented. Partners not always present. It's a sink or swim company.

It's pushing a big, aggressively liberal left-modernist agenda on people, changing its in-house assessment criteria based on race, and has gone overboard on diversity and inclusion. It's getting folks down and ruffling feathers with the constant training / messaging.",goes overboard on diversity and inclusion
229,"The firm is ambitious and seeks, like many others, to get more from less. It spreads itself and its people too thin, is unable to truly become an expert in something, and will expect non-chargeable work like business development to be done no matter how many days a week you're spending on chargeable projects. Your 35 hour week contract is never met and your days are hugely fragmented. Partners not always present. It's a sink or swim company.

It's pushing a big, aggressively liberal left-modernist agenda on people, changing its in-house assessment criteria based on race, and has gone overboard on diversity and inclusion. It's getting folks down and ruffling feathers with the constant training / messaging.",constant training/messaging is getting folks down
230,Low pay scale compared to the industry,low pay scale compared to the industry
231,Low pay scale compared to the industry,low pay scale compared to the industry
232,I didn't like the division I was on.,disliked division
233,I didn't like the division I was on.,disliked division
234,Bonus is very little. Review process is not transparent at all.,low bonus
234,Bonus is very little. Review process is not transparent at all.,non-transparent review process
235,shared space with all of you coworkers. you have a locker,lack of private workspace
236,Inflexible promotion and work overtime,inflexible promotion
236,Inflexible promotion and work overtime,mandatory overtime
237,long hours especially during the lockdown,long hours
237,long hours especially during the lockdown,particularly during lockdown
238,Can't really think of any,
239,Can't really think of any,
240,Too much work and fast speed. Very high quality is expected,too much work
240,Too much work and fast speed. Very high quality is expected,fast speed
240,Too much work and fast speed. Very high quality is expected,high quality expectation
241,Too much work and fast speed. Very high quality is expected,too much work
241,Too much work and fast speed. Very high quality is expected,fast speed
241,Too much work and fast speed. Very high quality is expected,high quality expectation
242,work-life balance can be quite sportadic,poor work-life balance
243,Getting gradually swallowed by the Deloitte machine and is losing its former magic.,loss of former magic
243,Getting gradually swallowed by the Deloitte machine and is losing its former magic.,being swallowed by Deloitte machine
244,Work load is high and can be intense.,high work load
244,Work load is high and can be intense.,intense work environment
245,Projects out of your hands,lack of control over projects
246,Projects out of your hands,lack of control over projects
247,Strict hard fail policy on exams,strict hard fail policy on exams
248,Strict hard fail policy on exams,strict hard fail policy on exams
249,salary was lower comparing to oher tech companies/consulting companies,lower salary compared to other tech/consulting companies
250,"Can be long hours, and bonuses aren’t great!",long hours
250,"Can be long hours, and bonuses aren’t great!",poor bonuses
251,High work load at times and part of a large organisation so making an impact can be difficult.,high work load
251,High work load at times and part of a large organisation so making an impact can be difficult.,difficulty making an impact
252,Lack of work life balance,lack of work life balance
253,Lack of work life balance,lack of work life balance
254,Working hours can sometimes be long!,long working hours
255,Working hours can sometimes be long!,long working hours
256,Longer hour compares to other divisions,longer hours compared to other divisions
257,Too much bureaucracy at times,too much bureaucracy
258,Too much bureaucracy at times,too much bureaucracy
259,work life balance hours around,work life balance
259,work life balance hours around,long hours
260,"Very large organisation, difficult to navigate",large
260,"Very large organisation, difficult to navigate",difficult-to-navigate organization
261,"Very large organisation, difficult to navigate",large
261,"Very large organisation, difficult to navigate",difficult-to-navigate organization
262,"No progression, you're there to serve the partners",lack of progression
262,"No progression, you're there to serve the partners",being used solely to serve partners
263,I have noted no cons,
264,nothing to complain except for long working hours but expected,long working hours
265,nothing to complain except for long working hours but expected,long working hours
266,Competitive to work with others,competitive working environment
267,Poor work life time balance,poor work-life balance
268,Departmental changes may be announced without care for its employees,departmental changes announced without care for employees
269,Departmental changes may be announced without care for its employees,departmental changes announced without care for employees
270,Career Progression is limited within the business,limited career progression
271,Career Progression is limited within the business,limited career progression
272,#NAME?,unstructured work environment in terms of line management
273,Large company can feel impersonal; lower compensation than competitors,impersonal feeling
273,Large company can feel impersonal; lower compensation than competitors,lower compensation than competitors
274,Not great pay - could offer slightly more as this wage doesn't really cover London living expenses if living alone.,low pay
274,Not great pay - could offer slightly more as this wage doesn't really cover London living expenses if living alone.,unaffordable living expenses in London
275,Not great pay - could offer slightly more as this wage doesn't really cover London living expenses if living alone.,low pay
275,Not great pay - could offer slightly more as this wage doesn't really cover London living expenses if living alone.,unaffordable living expenses in London
276,Work life balance isn't the best but is key for the development.,poor work life balance
277,Work life balance isn't the best but is key for the development.,poor work life balance
278,Underpaid compared to other companies,underpayment compared to other companies
279,Underpaid compared to other companies,underpayment compared to other companies
280,"Long hours
Limited bonuses
Admin burdens
IT issues from time to time",long hours
280,"Long hours
Limited bonuses
Admin burdens
IT issues from time to time",limited bonuses
280,"Long hours
Limited bonuses
Admin burdens
IT issues from time to time",admin burdens
280,"Long hours
Limited bonuses
Admin burdens
IT issues from time to time",IT issues
281,"Long hours
Limited bonuses
Admin burdens
IT issues from time to time",long hours
281,"Long hours
Limited bonuses
Admin burdens
IT issues from time to time",limited bonuses
281,"Long hours
Limited bonuses
Admin burdens
IT issues from time to time",admin burdens
281,"Long hours
Limited bonuses
Admin burdens
IT issues from time to time",IT issues
282,Hours can be challenging at times,challenging hours
283,Hours can be challenging at times,challenging hours
284,"Rude and arrogant mangers, unfriendly bullying staff, worst than a retail job",rude and arrogant managers
284,"Rude and arrogant mangers, unfriendly bullying staff, worst than a retail job",unfriendly bullying staff
285,"Rude and arrogant mangers, unfriendly bullying staff, worst than a retail job",rude and arrogant managers
285,"Rude and arrogant mangers, unfriendly bullying staff, worst than a retail job",unfriendly bullying staff
286,"- A lot of focus on sales
- Work/Life balance is sometimes challenged
- Perks could be better",a lot of focus on sales
286,"- A lot of focus on sales
- Work/Life balance is sometimes challenged
- Perks could be better",challenging work/life balance
286,"- A lot of focus on sales
- Work/Life balance is sometimes challenged
- Perks could be better",subpar perks
287,Not enough clarity regarding the promotion process,lack of clarity in promotion process
288,"low salary, a lone wolf environment within this department.",low salary
288,"low salary, a lone wolf environment within this department.",lone wolf environment within department
289,Workload can be large in busy season,large workload during busy season
290,The pay for technical Cloud people are not on par with other companies.,pay for technical Cloud professionals is lower than at other companies
291,The pay for technical Cloud people are not on par with other companies.,pay for technical Cloud professionals is lower than at other companies
292,"Stress
Lack of work/life balance 
Expected to work long hours",stress
292,"Stress
Lack of work/life balance 
Expected to work long hours",lack of work/life balance
292,"Stress
Lack of work/life balance 
Expected to work long hours",expected to work long hours
293,pay could be more competitive,pay not competitive
294,Nothing I can think of,
295,Nothing I can think of,
296,low pay at start (first 3 years),low pay during first 3 years
297,Can be long hours at times,long hours
298,Long hours during busy season,long hours during busy season
299,Management can sometimes be detached from operations staff,detached management from operations staff
300,"Work life balance, remuneration, size of the org",poor work life balance
300,"Work life balance, remuneration, size of the org",low remuneration
300,"Work life balance, remuneration, size of the org",large organization size
301,below-average salary and inevitable admin work invloved,below-average salary
301,below-average salary and inevitable admin work invloved,admin work involvement
302,You can work a lot of hours during the busy season,long hours during busy season
303,You can work a lot of hours during the busy season,long hours during busy season
304,"Work life balance
No overtime pay",work life balance
304,"Work life balance
No overtime pay",no overtime pay
305,"Work life balance
No overtime pay",work life balance
305,"Work life balance
No overtime pay",no overtime pay
306,"Very long hours at all levels - Analyst and up. Very late evenings are the norm and weekend work often required. No overtime, very small bonuses (if you even get one) and overall basic salary for the time, effort, and responsibility.",very long hours
306,"Very long hours at all levels - Analyst and up. Very late evenings are the norm and weekend work often required. No overtime, very small bonuses (if you even get one) and overall basic salary for the time, effort, and responsibility.",late evenings
306,"Very long hours at all levels - Analyst and up. Very late evenings are the norm and weekend work often required. No overtime, very small bonuses (if you even get one) and overall basic salary for the time, effort, and responsibility.",weekend work
306,"Very long hours at all levels - Analyst and up. Very late evenings are the norm and weekend work often required. No overtime, very small bonuses (if you even get one) and overall basic salary for the time, effort, and responsibility.",small bonuses
306,"Very long hours at all levels - Analyst and up. Very late evenings are the norm and weekend work often required. No overtime, very small bonuses (if you even get one) and overall basic salary for the time, effort, and responsibility.",low salaries
307,Some times you get to work in a area where you don’t have experience and they expect you to be an expert in that area,lack of experience
307,Some times you get to work in a area where you don’t have experience and they expect you to be an expert in that area,expectation to be an expert
308,I am often very busy,being very busy
309,"very English centric, low salary, no bonus",English centric
309,"very English centric, low salary, no bonus",low salary
309,"very English centric, low salary, no bonus",no bonus
310,"very English centric, low salary, no bonus",English centric
310,"very English centric, low salary, no bonus",low salary
310,"very English centric, low salary, no bonus",no bonus
311,"underpaid
long hours
Mediocre people management in the past year during the pandemic.",underpaid
311,"underpaid
long hours
Mediocre people management in the past year during the pandemic.",long hours
311,"underpaid
long hours
Mediocre people management in the past year during the pandemic.",mediocre people management during pandemic
312,"underpaid
long hours
Mediocre people management in the past year during the pandemic.",underpaid
312,"underpaid
long hours
Mediocre people management in the past year during the pandemic.",long hours
312,"underpaid
long hours
Mediocre people management in the past year during the pandemic.",mediocre people management during pandemic
313,"underpaid
long hours
Mediocre people management in the past year during the pandemic.",underpaid
313,"underpaid
long hours
Mediocre people management in the past year during the pandemic.",long hours
313,"underpaid
long hours
Mediocre people management in the past year during the pandemic.",mediocre people management during pandemic
314,Working IB hours on an accountants' pay,long working hours
314,Working IB hours on an accountants' pay,low pay
315,Working IB hours on an accountants' pay,long working hours
315,Working IB hours on an accountants' pay,low pay
316,Higher management have lost there way,loss of direction in higher management
317,"Low pay, no real salary growth, mediocre team in terms of brains but better than many other places",low pay
317,"Low pay, no real salary growth, mediocre team in terms of brains but better than many other places",lack of salary growth
318,"long hours, rubbish bonus, partner politics",long hours
318,"long hours, rubbish bonus, partner politics",poor bonus
318,"long hours, rubbish bonus, partner politics",partner influence in company
319,though place to work i can tell you that,unspecified issues with workplace
320,"A lot of pressure from the outset, long hours",pressure from the outset
320,"A lot of pressure from the outset, long hours",long hours
321,Nothing relating to just the firm,
322,target driven and apply pressure,target-driven approach
322,target driven and apply pressure,pressure applied
323,target driven and apply pressure,target-driven approach
323,target driven and apply pressure,pressure applied
324,Lack of work life balance,lack of work life balance
325,"Work life balance, no paid overtime.",work life balance
325,"Work life balance, no paid overtime.",no paid overtime
326,Long hours which has impact on work life balance,long hours
326,Long hours which has impact on work life balance,negative impact on work-life balance
327,"- Like and PS firm, chargeability is key. It is an output-based model which means hours can/are insane 
- Matrix structure and partnership model means that long term investments are difficult to get approved as there is a huge focus on partners/member firms bottom line. You're global but local... 
- Lots of corporate politics to navigate and bureaucracy given the Audit arm of the business",insane hours
327,"- Like and PS firm, chargeability is key. It is an output-based model which means hours can/are insane 
- Matrix structure and partnership model means that long term investments are difficult to get approved as there is a huge focus on partners/member firms bottom line. You're global but local... 
- Lots of corporate politics to navigate and bureaucracy given the Audit arm of the business",difficulty getting long-term investments approved
327,"- Like and PS firm, chargeability is key. It is an output-based model which means hours can/are insane 
- Matrix structure and partnership model means that long term investments are difficult to get approved as there is a huge focus on partners/member firms bottom line. You're global but local... 
- Lots of corporate politics to navigate and bureaucracy given the Audit arm of the business",matrix structure and partnership model
327,"- Like and PS firm, chargeability is key. It is an output-based model which means hours can/are insane 
- Matrix structure and partnership model means that long term investments are difficult to get approved as there is a huge focus on partners/member firms bottom line. You're global but local... 
- Lots of corporate politics to navigate and bureaucracy given the Audit arm of the business",corporate politics
327,"- Like and PS firm, chargeability is key. It is an output-based model which means hours can/are insane 
- Matrix structure and partnership model means that long term investments are difficult to get approved as there is a huge focus on partners/member firms bottom line. You're global but local... 
- Lots of corporate politics to navigate and bureaucracy given the Audit arm of the business",audit arm bureaucracy
328,Lack of diversity among senior leadership,lack of diversity among senior leadership
329,"Gender inequality, under paid staff and massive discrepancies in pay for woman, pregnant woman don’t tend to return to work. Although not the same in all departments.",gender inequality
329,"Gender inequality, under paid staff and massive discrepancies in pay for woman, pregnant woman don’t tend to return to work. Although not the same in all departments.",underpaid staff
329,"Gender inequality, under paid staff and massive discrepancies in pay for woman, pregnant woman don’t tend to return to work. Although not the same in all departments.",pay disparities for pregnant women
330,Nothing that i can think of.,
331,Nothing that i can think of.,
332,#NAME?,feeling of being a small cog in a big machine
333,Long hours and sales focussed with seniority,long hours
333,Long hours and sales focussed with seniority,sales focus
333,Long hours and sales focussed with seniority,lack of fairness in promotion based on seniority
334,"Work-life balance, stress from working",work-life balance
334,"Work-life balance, stress from working",stress from working
335,Working from home can be tiring,tiredness from working from home
336,Working from home can be tiring,tiredness from working from home
337,Working from home can be tiring,tiredness from working from home
338,No work life balance and too much pressure.,no work life balance
338,No work life balance and too much pressure.,too much pressure
339,hard to move things forward,difficulty moving things forward
340,hard to move things forward,difficulty moving things forward
341,No rotation opportunities as a recent graduate. Pigeon holed in very specific role on very specific types of project,lack of rotation opportunities
341,No rotation opportunities as a recent graduate. Pigeon holed in very specific role on very specific types of project,pigeonholed in specific role
342,No rotation opportunities as a recent graduate. Pigeon holed in very specific role on very specific types of project,lack of rotation opportunities
342,No rotation opportunities as a recent graduate. Pigeon holed in very specific role on very specific types of project,pigeonholed in specific role
343,It’s very tribal. If you don’t win favour with Managment you’ll never get promoted.,tribal culture
343,It’s very tribal. If you don’t win favour with Managment you’ll never get promoted.,favoritism in promotion decisions
344,"Really boring work, no exposure to senior management",boring work
344,"Really boring work, no exposure to senior management",lack of exposure to senior management
345,"Being such a large business, it can be hard to navigate and find the right people/teams",difficult to navigate
345,"Being such a large business, it can be hard to navigate and find the right people/teams",hard to find the right people/teams
346,"Hours, pay, lack of support",long hours
346,"Hours, pay, lack of support",low pay
346,"Hours, pay, lack of support",lack of support
347,Lots of red tape and processes to follow,lots of red tape
347,Lots of red tape and processes to follow,excessive processes
348,Long Hours affecting work life balance,long hours affecting work-life balance
349,Free dinners during busy season,mandatory free dinners during busy season
350,None I can think of,
351,"Low salary, too much work , too much pressure",low salary
351,"Low salary, too much work , too much pressure",too much work
351,"Low salary, too much work , too much pressure",too much pressure
352,"Depending on the team you work in, it is not as diverse as you'd expect",lack of diversity in teams
353,Lot of overtime work required,required overtime work
354,Can be quite hierarchical and difficult to get promoted,hierarchical promotion process
355,Entry pay and yearly review cycles,low entry pay
355,Entry pay and yearly review cycles,inefficient yearly review cycles
356,Entry pay and yearly review cycles,low entry pay
356,Entry pay and yearly review cycles,inefficient yearly review cycles
357,Focus is increasingly on partner earnings at the expense of other staff,partner earnings focus at the expense of other staff
358,Salary doesn’t reflect the work that is done and feel undervalued where salary is concerned.,salary does not reflect work
358,Salary doesn’t reflect the work that is done and feel undervalued where salary is concerned.,feeling undervalued
359,Hours can be unpredictable. Firm is often constrained by compliance and process requirements,unpredictable hours
359,Hours can be unpredictable. Firm is often constrained by compliance and process requirements,compliance and process constraints
