participant number,astrologicalSign,astrologicalSign_Aquarius,astrologicalSign_Aries,astrologicalSign_Cancer,astrologicalSign_Capricorn,astrologicalSign_Gemini,astrologicalSign_Leo,astrologicalSign_Libra,astrologicalSign_Pisces,astrologicalSign_Sagittarius,astrologicalSign_Scorpio,astrologicalSign_Tauras,astrologicalSign_Virgo,MBTI-style,MBTI-style_E,MBTI-style_S,MBTI-style_T,MBTI-style_J,Big5_E,Big5_O,Big5_A,Big5_C,Big5_N,Enneagram_type,Enneagram_type_1 score,Enneagram_type_2 score,Enneagram_type_3 score,Enneagram_type_4 score,Enneagram_type_5 score,Enneagram_type_6 score,Enneagram_type_7 score,Enneagram_type_8 score,Enneagram_type_9 score,outcome_HomeOwner,outcome_SatisfiedWithLife,outcome_SatisfiedWithWorkLife,outcome_SatisfiedWithRomanticLife,outcome_numberOfTimesHospitalizedInPast5Years,outcome_NumberOfServicesWithFailedPaymentsInPast5Years,outcome_numberOfPeopleWhoWouldHelpThemInEmergency,outcome_BMI,outcome_SatisfiedWithPhysicalHealth,outcome_SatisfiedWithSocialLife,outcome_HoursOfModerateExercisePerWeek,outcome_considersThemselvesReligious,outcome_EmploymentLevel,outcome_numberOfDeepEmotionalConnections,outcome_relationshipSeriousness,outcome_numberOfFeedbacksReceivedInLastYear,outcome_levelOfSuicidality,outcome_numberOfEventsPlannedInLastYear,outcome_numberOfVolunteeringsInLastYear,outcome_numberOfPromotionsInLastFiveYears,outcome_TraumaImpact,outcome_numberOfPaidWorkHoursPerWeek,householdIncomeEstimate,outcome_MeditationMinutesPerDay,outcome_Conservativeness,outcome_highestLevelOfEducation,outcome_age,outcome_femaleAs1MaleAs0,outcome_numberOfMonthsSpentInJailOrPrison,outcome_NumberOfCriminalConvictionsInLast5Years,outcome_numberOfTimesFiredInPast5Years,outcome_DietVeg,outcome_DietMediterranean,outcome_DietLowCarb,hoursOfSleepPerNight,outcome_numberOfTrainingsInLastYear,outcome_numberOfAwardsInLastYear,outcome_TimesOfPhysicalForceWithoutProvocationInLast5Years,outcome_NumberOfCrimesTheyAreVictimOfInLast5Years
78,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ISFJ,29,53,38,92,49,8,86,67,28,2,73,87,47,20,23,80,10,33,80,0,2,-3,3,3,2,7,39,3,3,0,3,1,6,3,0,4,0,0,0,0,40,72500,5,-3,2,30,1,4,1,0,0,0,0,5,0,0,0,1
79,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ENFP,57,34,48,53,54,75,64,58,50,3,53,60,60,60,67,57,57,60,57,0,-1,-1,-1,0,1,4,25,0,-2,12,0,1,5,0,3,2,0,0,0,2,40,132500,5,2,5,26,0,0,0,0,0,0,0,6,0,3,1,1
80,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ISFJ,29,71,36,72,39,46,56,57,26,6,50,67,43,40,40,80,53,57,83,0,2,1,-2,0,0,5,28,2,-1,0,1,1,3,1,1,0,1,1,0,2,40,225000,5,-1,4,36,1,0,0,0,1,0,0,7,0,1,0,0
81,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ESTP,68,58,69,62,58,60,54,68,19,8,67,40,47,30,47,57,63,83,30,3,1,1,2,0,0,10,29,-1,1,0,2,1,7,4,1,0,3,3,0,2,45,132500,5,1,5,59,1,0,0,0,0,0,0,8,0,3,0,0
82,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ENFP,68,38,42,59,75,72,82,69,47,7,60,83,67,60,80,73,80,63,63,0,-2,2,-2,0,4,3,23,1,-1,3,2,1,2,1,3,2,1,0,0,3,45,50000,0,1,5,32,0,0,0,1,0,0,0,6,0,0,0,0
83,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,INTJ,26,42,54,83,49,69,86,90,39,8,97,63,60,47,77,70,60,87,63,1,-1,-1,-1,0,3,3,28,1,-2,0,1,1,3,4,1,0,3,0,0,2,8,132500,5,-1,4,48,1,0,0,0,0,1,0,5,4,0,0,0
84,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,INFJ,12,17,53,69,36,93,83,68,78,8,50,60,47,77,100,70,10,93,40,0,-3,1,-3,0,5,2,26,2,-3,6,-3,1,2,0,7,3,3,0,3,3,70,132500,15,2,2,27,0,0,0,0,0,0,1,5,0,0,0,7
85,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,INFP,24,29,51,53,13,78,92,89,43,1,97,73,17,50,90,57,43,73,93,2,2,2,3,0,0,10,30,1,2,1,2,1,1,3,0,0,0,0,0,2,40,50000,0,2,2,36,1,0,0,0,0,0,0,7,0,0,0,0
86,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,INFJ,23,39,44,78,28,72,72,65,69,4,63,73,40,63,77,60,27,67,57,3,-1,-2,1,0,0,5,26,-1,-1,3,-2,1,3,4,3,3,5,1,3,1,45,132500,0,0,5,54,0,0,0,0,0,0,0,8,4,1,0,0
87,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ESTJ,58,58,79,77,60,83,60,86,15,8,73,37,43,27,77,70,57,73,20,3,3,3,3,0,0,5,22,3,2,6,3,1,5,4,3,0,6,8,1,0,40,132500,15,2,6,42,1,0,0,0,0,0,0,8,0,3,0,0
88,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,INTJ,28,40,77,84,25,71,51,75,28,8,90,30,20,0,90,40,50,80,67,2,3,1,3,0,0,3,22,3,3,16,-3,1,1,4,3,0,3,3,3,0,40,175000,5,0,6,35,0,0,0,0,1,0,0,8,0,3,0,0
89,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ISFJ,29,54,48,82,29,69,79,67,42,2,70,77,27,43,63,73,37,47,63,0,2,2,2,0,0,10,29,-1,2,0,2,1,3,4,7,1,5,8,3,2,10,4500,0,-2,6,26,1,0,0,0,0,0,0,9,0,0,0,0
90,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ENFP,51,42,50,59,57,64,79,72,33,7,77,77,57,40,77,70,73,73,53,2,1,2,2,0,2,4,35,-1,1,0,2,1,2,3,1,0,3,0,0,0,35,50000,5,0,4,53,0,0,0,0,0,0,0,5,0,0,0,0
91,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ENTP,66,39,59,60,50,68,57,75,53,4,80,77,63,70,63,57,63,47,80,3,1,2,1,0,0,5,22,1,2,0,-2,1,5,4,1,0,1,0,1,0,45,225000,0,0,6,37,0,0,0,0,0,0,0,8,0,0,0,0
92,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ENFP,61,43,48,60,65,69,75,69,43,7,70,70,60,47,73,67,67,63,70,2,2,1,2,0,2,2,28,2,-1,2,1,1,4,4,3,0,3,0,0,0,40,72500,0,2,7,53,0,0,0,0,0,0,0,8,0,0,0,0
93,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ENFP,46,41,43,52,54,72,78,68,76,4,73,77,80,93,83,67,50,57,80,0,-1,1,-2,1,0,3,26,1,1,0,1,1,3,0,0,3,0,0,0,2,40,50000,0,-1,5,31,0,0,0,1,0,0,0,7,1,0,0,0
94,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,INFP,27,22,26,26,26,69,92,38,75,2,30,80,20,70,70,40,40,63,80,1,-3,-2,2,3,1,1,27,-2,-1,0,1,0,1,4,5,1,0,0,0,4,15,4500,0,0,3,46,1,0,0,0,0,0,1,7,0,0,1,1
95,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENFP,86,42,31,59,78,85,72,67,19,8,80,80,67,43,43,43,67,90,47,0,2,2,2,0,0,2,16,1,2,0,-2,1,2,1,0,0,0,0,0,4,40,72500,5,2,5,29,0,0,0,0,0,0,0,8,0,0,0,0
96,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ESFP,69,44,44,48,60,58,78,67,14,7,77,77,53,63,77,73,90,37,80,3,3,3,3,0,0,12,28,3,3,3,-3,1,3,4,1,0,1,1,1,0,42,100000,0,-2,5,31,0,0,0,0,0,0,0,8,0,0,0,0
97,,,,,,,,,,,,,,INFJ,43,33,52,66,47,72,76,83,22,1,83,63,40,37,80,63,57,60,57,2,2,2,3,0,0,5,22,2,3,6,-3,1,3,3,7,0,3,0,1,0,40,72500,0,-1,5,38,0,0,0,0,0,1,0,7,4,0,0,0
98,,,,,,,,,,,,,,ESTJ,48,50,57,72,42,60,69,81,53,1,87,70,37,50,63,63,53,57,73,2,1,2,-1,0,3,3,33,2,1,6,1,1,3,0,1,0,0,0,1,1,60,50000,0,3,3,48,0,0,0,0,0,0,0,6,0,0,0,0
99,,,,,,,,,,,,,,ENFP,60,38,50,61,58,78,76,90,40,6,87,70,67,50,77,90,57,67,73,0,2,3,-2,1,2,3,26,2,-2,0,2,1,1,2,3,0,1,0,1,0,55,32500,5,3,4,34,0,0,0,0,0,0,0,7,0,0,0,0
100,,,,,,,,,,,,,,ISFJ,21,48,48,76,19,54,89,43,47,6,23,80,7,60,60,83,37,37,87,2,1,3,2,1,0,10,38,-2,-1,0,-3,1,4,3,0,0,0,0,1,1,40,72500,0,-3,4,61,1,0,0,0,0,0,0,6,0,0,0,0
101,,,,,,,,,,,,,,ISTP,34,47,70,57,46,72,42,74,32,8,73,43,37,33,77,57,60,77,47,3,1,2,0,0,0,3,22,-1,2,0,-2,1,2,0,3,0,0,1,1,0,60,132500,0,2,5,62,1,0,0,0,0,1,0,9,0,0,0,0
102,,,,,,,,,,,,,,ISFJ,12,84,46,78,14,38,90,94,54,1,93,77,33,40,23,77,23,37,80,3,2,2,2,1,0,1,26,-2,1,0,3,1,3,4,0,0,0,0,0,4,60,100000,5,3,4,46,1,0,0,0,0,0,0,7,0,0,0,1
103,,,,,,,,,,,,,,ENTJ,64,41,59,68,67,75,81,60,13,7,50,67,37,50,80,37,57,53,30,0,2,2,2,0,0,6,28,2,2,6,-3,1,6,1,3,0,3,0,0,0,48,50000,0,-1,3,36,0,0,0,0,0,0,0,7,0,0,0,0
104,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ENFJ,62,31,44,72,64,68,75,76,29,3,53,87,93,60,60,53,47,77,83,2,3,3,3,3,1,3,26,3,3,1,3,1,5,4,3,0,3,1,1,2,40,50000,15,3,5,33,1,0,0,0,1,0,0,9,2,1,2,0
105,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ISFJ,7,76,53,74,10,19,74,65,68,9,67,73,17,63,10,80,3,43,93,0,-2,-2,2,1,10,4,42,-2,0,0,-1,0,2,4,0,1,1,0,0,2,15,32500,0,0,2,36,1,0,0,0,0,0,0,5,0,0,1,1
106,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,INFP,19,37,52,63,25,78,74,72,63,4,77,63,37,77,77,50,40,57,77,0,-2,-2,-2,0,3,2,30,-3,-2,0,-3,1,2,0,7,1,0,0,0,4,40,50000,0,-3,5,39,1,0,0,0,0,1,0,7,0,0,0,7
107,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ISFJ,14,50,36,92,6,50,92,69,76,2,73,97,40,70,87,90,20,13,100,0,-3,-3,-3,0,0,1,20,-3,-3,0,-3,0,0,0,0,5,0,0,0,4,14,17500,0,-3,5,36,0,0,0,0,0,0,0,7,0,0,0,0
108,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ESTJ,47,58,60,68,43,50,61,56,32,8,50,53,43,27,47,57,47,63,47,3,0,1,-1,0,0,5,23,1,0,3,2,0,3,0,0,0,0,0,0,1,35,100000,15,2,3,78,0,0,0,0,0,0,0,8,0,0,0,0
109,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ESFJ,70,44,46,66,69,68,78,64,17,7,53,73,40,37,73,63,73,53,53,1,1,2,0,0,0,5,28,1,1,0,-3,1,6,0,5,0,5,0,1,1,40,72500,15,-2,4,62,1,0,0,0,0,1,0,9,1,1,0,0
110,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ENFJ,59,43,50,64,63,63,82,81,15,1,87,77,33,33,80,73,57,47,53,1,2,0,1,0,0,6,25,-2,3,0,2,0,8,0,0,0,3,0,0,0,10,17500,0,3,3,68,1,0,0,0,0,1,0,8,0,0,0,1
111,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,INFP,43,39,50,54,54,64,65,50,71,4,43,53,50,77,80,70,53,63,63,0,0,0,-1,1,4,2,17,1,0,3,1,1,2,2,5,1,0,3,3,1,45,100000,0,0,5,28,1,0,0,0,0,0,0,7,0,3,0,0
112,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ISTP,36,54,70,31,38,53,56,61,24,6,50,70,43,27,63,77,40,60,60,2,2,2,2,0,3,5,31,1,1,1,-2,1,3,4,7,0,3,8,1,1,60,100000,0,2,3,26,0,0,0,0,0,0,0,7,0,0,0,4
113,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ENFP,62,18,30,57,81,65,86,44,65,4,33,93,77,97,100,43,70,20,73,0,-2,2,-3,0,0,5,23,2,2,6,-3,1,4,0,3,2,1,0,3,2,60,32500,0,-3,5,51,0,0,0,0,0,0,0,7,0,0,1,0
114,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,INTJ,22,38,57,71,22,76,72,78,68,8,83,67,33,57,87,70,40,80,37,2,-1,2,-1,0,0,8,22,1,1,6,-3,1,3,0,3,0,0,0,1,0,45,72500,0,-3,5,31,0,0,0,0,0,1,0,6,0,0,0,0
115,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ISTP,29,52,54,63,19,71,83,54,24,5,47,80,10,37,87,60,7,37,73,0,1,2,2,0,5,4,24,1,1,0,-3,1,2,4,3,1,3,0,1,1,30,50000,0,3,5,32,1,0,0,0,0,0,0,7,0,0,0,0
116,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,INFP,26,24,22,52,24,90,88,53,26,5,43,73,13,40,97,43,43,37,67,1,2,1,0,0,2,5,24,-1,2,3,3,1,4,4,7,0,3,3,0,2,20,17500,15,-2,5,67,1,0,0,0,0,0,1,8,1,0,0,1
117,Libra,0,0,0,0,0,0,1,0,0,0,0,0,INTP,36,32,58,53,31,67,71,42,50,2,33,67,27,47,73,47,43,33,63,3,-2,-2,-2,0,0,6,19,1,-1,12,-3,0,5,4,0,3,3,0,0,2,25,50000,0,-2,4,62,1,0,0,0,1,0,0,6,1,0,0,0
118,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ENFP,88,40,42,61,76,68,83,88,11,7,87,90,47,30,57,73,93,70,40,2,2,2,0,1,0,10,32,1,2,1,2,1,4,0,1,0,1,0,3,0,40,100000,15,-2,0,55,1,0,0,0,0,0,0,4,0,3,0,0
119,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ESTP,72,49,57,58,67,58,53,82,33,7,80,47,60,17,50,57,70,60,37,3,3,3,3,0,0,8,21,2,3,1,-2,1,10,4,0,0,3,1,3,0,45,132500,0,-1,5,42,0,0,0,0,0,0,0,7,0,0,0,0
120,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENFP,48,32,41,62,54,74,81,40,40,2,33,80,47,53,80,50,47,43,70,0,-2,-1,-2,0,0,5,26,-2,-1,0,-1,1,5,1,0,0,0,0,0,3,40,50000,0,-3,4,38,0,0,0,0,0,0,0,8,0,0,0,0
121,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ENFJ,60,33,47,80,71,96,88,96,33,1,100,60,70,20,100,80,80,80,60,0,0,2,0,0,0,2,21,2,2,3,3,1,1,1,0,1,3,0,0,2,40,100000,25,0,5,30,0,0,0,0,0,0,0,6,0,0,0,0
122,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ISTJ,14,47,58,80,7,63,50,49,74,9,47,53,30,73,73,83,13,30,100,0,-3,-3,-3,0,3,1,21,2,-3,2,3,1,1,0,0,0,0,0,0,4,25,17500,5,2,5,29,0,0,0,1,0,0,0,6,0,0,0,2
123,Aries,0,1,0,0,0,0,0,0,0,0,0,0,INFP,40,38,50,52,39,75,85,69,10,5,67,63,27,20,83,60,63,70,37,2,2,1,3,3,2,6,22,2,3,6,-3,1,3,3,5,0,3,8,1,1,60,132500,25,-3,5,32,1,0,0,0,0,0,1,7,0,0,1,4
124,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,INTP,21,41,80,40,22,68,69,69,11,1,83,60,10,17,83,30,63,70,40,1,0,1,3,3,0,6,16,-3,0,0,-3,0,8,0,0,0,0,0,0,1,45,17500,0,-3,7,62,1,0,0,0,1,0,0,6,0,0,0,0
125,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ESTJ,79,54,57,67,71,64,85,96,14,7,93,67,57,27,70,53,90,83,57,3,2,2,3,0,0,2,29,3,3,0,-3,1,7,4,7,0,1,0,0,0,40,72500,0,-2,2,47,1,0,0,0,0,0,0,8,0,0,0,0
126,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ESTP,70,53,56,56,75,50,69,61,24,8,63,70,50,43,47,53,73,77,43,2,2,1,2,0,0,2,24,2,2,3,-2,1,2,1,0,0,0,1,0,0,40,4500,0,0,7,54,0,0,0,0,0,0,0,8,0,0,0,0
127,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ENFP,59,22,22,63,63,83,68,54,54,5,37,57,60,50,93,57,60,40,37,1,-2,1,-2,0,1,12,24,1,-1,6,1,1,9,0,7,1,3,0,0,3,48,17500,0,-2,5,64,1,0,0,1,0,1,0,9,0,0,0,0
128,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ISTJ,4,44,57,79,6,81,65,74,22,9,77,53,13,30,83,43,3,33,83,0,2,2,2,0,0,6,34,1,2,0,-3,1,6,3,0,0,0,0,3,1,25,32500,0,-3,2,49,1,0,0,0,1,0,0,7,0,0,0,0
129,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ESFJ,51,58,41,66,56,57,76,78,38,8,73,77,43,50,60,70,57,73,47,2,2,2,2,0,0,2,23,2,2,12,2,1,4,4,3,0,3,1,1,1,40,72500,5,2,5,49,1,0,0,0,0,0,0,7,0,0,0,0
130,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ESTP,86,46,78,51,69,78,54,67,25,7,67,53,53,10,83,53,83,80,57,2,2,2,3,0,0,6,22,2,3,1,-3,1,6,4,5,1,1,0,3,0,40,72500,0,-2,5,35,0,0,0,0,0,0,0,8,0,0,0,0
131,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,INFP,38,16,47,42,29,94,71,54,29,5,50,63,20,47,97,47,67,67,60,1,2,2,3,0,0,8,22,2,1,3,1,1,2,4,3,0,1,3,0,2,60,72500,45,2,8,63,0,0,0,0,0,0,1,8,2,1,0,0
132,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENTP,53,39,59,60,58,67,64,67,25,8,60,50,47,30,67,63,60,73,47,2,1,1,-2,0,0,5,34,0,1,0,1,1,2,0,1,0,1,3,0,2,40,32500,25,-3,4,43,1,0,0,0,0,0,0,6,0,0,0,1
133,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ISFJ,26,51,43,66,39,67,78,69,51,6,73,70,37,67,67,77,43,60,63,0,0,-2,-2,0,0,3,25,2,1,3,-3,1,4,0,3,0,1,0,0,2,40,72500,0,-2,5,39,1,0,0,0,0,0,0,8,0,0,0,0
134,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ENTJ,50,41,80,68,58,75,47,72,36,8,67,53,60,33,73,63,60,80,27,2,1,2,-1,0,0,2,32,1,1,0,-3,1,2,0,0,0,0,0,0,2,40,32500,0,1,5,46,0,0,0,1,0,0,0,9,0,0,0,0
135,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ISFJ,20,51,46,76,17,47,75,56,51,4,53,70,13,57,57,57,13,40,63,0,0,-1,-2,0,0,7,22,0,1,0,-3,0,10,0,0,1,0,0,0,1,0,17500,0,0,5,36,0,0,0,0,0,0,0,8,0,0,0,0
136,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ENFP,54,31,40,48,57,65,76,64,19,7,50,53,27,30,77,57,70,47,30,0,1,2,1,0,0,4,26,2,2,0,1,1,4,0,1,0,1,0,1,1,40,50000,0,-2,4,29,0,0,0,0,0,0,0,8,1,0,0,0
137,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,INTP,39,21,62,36,35,94,81,44,19,8,47,47,0,40,97,37,77,93,13,0,2,1,2,0,0,2,23,2,1,12,-3,1,6,1,5,0,0,0,0,1,30,17500,25,-3,3,38,0,0,0,0,0,0,1,7,0,0,0,0
138,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENFP,59,38,53,58,67,68,75,75,29,7,83,60,60,50,83,60,70,63,63,2,2,2,3,1,1,7,23,1,2,3,-2,1,7,4,3,1,5,3,1,2,45,132500,5,0,5,35,0,0,0,0,0,0,0,7,0,1,0,1
139,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,INFP,31,32,49,57,33,85,67,47,57,5,40,47,40,77,97,70,60,50,57,0,0,-2,-2,0,2,5,55,-2,-1,0,-2,0,2,0,3,1,0,0,1,3,40,50000,5,-2,5,57,0,0,0,0,0,0,0,5,1,0,0,0
140,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ESFP,47,51,53,53,42,51,60,47,21,7,43,47,30,30,53,47,40,37,47,2,1,1,1,0,0,2,28,1,1,3,0,1,1,4,0,0,0,0,0,0,40,72500,0,-1,5,40,0,0,0,0,0,0,0,7,0,0,0,0
141,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,INFJ,19,23,52,74,36,63,88,92,74,2,93,90,43,67,70,60,30,73,53,0,-2,0,1,0,0,0,37,-2,0,3,3,1,1,4,3,2,0,0,0,4,80,72500,0,2,6,40,1,0,0,0,0,0,1,7,0,0,0,0
142,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ISFJ,39,46,44,67,47,67,75,68,49,4,67,67,47,63,60,57,43,53,63,1,-2,-1,-2,0,0,3,25,-1,-2,2,2,0,4,0,1,0,0,0,0,3,0,32500,5,2,5,51,1,0,0,0,1,0,0,5,0,0,0,2
143,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ISTJ,17,59,67,66,22,47,47,58,46,9,60,50,23,33,53,50,17,50,70,2,-2,-2,-3,0,0,3,24,-1,-2,3,-3,1,1,0,3,1,0,0,0,2,45,50000,0,-1,5,31,0,0,0,1,0,0,0,7,0,0,0,3
144,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ISFJ,2,49,24,89,4,57,83,69,54,9,70,80,7,50,73,63,3,27,97,3,-1,-1,-1,1,2,2,21,-1,-1,0,2,1,3,0,5,0,0,0,1,4,40,17500,0,-1,5,53,1,0,0,0,0,1,0,7,0,0,0,1
145,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ESTJ,47,52,78,66,60,65,36,79,49,6,80,20,70,73,77,87,60,73,23,2,1,2,1,0,0,5,28,2,2,1,2,1,1,3,3,0,0,0,1,1,40,32500,0,1,4,32,0,0,0,0,1,0,0,8,0,1,1,0
146,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ESTP,61,44,59,57,64,63,60,72,36,3,70,50,50,50,67,60,53,53,47,2,1,1,0,0,0,4,22,2,2,6,-3,1,5,0,0,0,0,0,3,0,40,50000,0,0,5,35,0,0,0,0,0,0,0,7,0,0,0,0
147,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ENFP,70,16,49,50,68,78,90,47,68,4,57,77,37,100,90,43,90,77,53,0,-2,-1,3,0,20,10,19,0,0,0,0,1,10,0,3,3,0,0,3,4,40,17500,15,-3,2,30,0,0,0,1,1,0,0,9,4,0,0,2
148,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,INFP,12,24,52,48,13,88,86,54,69,5,57,60,37,73,93,60,23,50,53,0,-2,-3,-3,0,0,3,34,-1,-1,1,1,1,2,0,3,1,0,0,0,3,12,4500,5,-2,5,43,1,0,0,0,0,0,0,9,4,0,0,2
149,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ENTP,87,28,62,49,92,97,79,88,44,7,90,93,80,53,93,57,93,83,27,2,1,2,3,0,0,6,28,1,2,3,2,1,5,4,3,1,5,8,1,0,45,175000,0,-2,6,31,0,0,0,0,0,0,0,7,0,3,0,0
150,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ISTJ,43,59,56,79,40,58,71,63,22,3,60,63,43,30,70,53,33,43,53,0,1,1,0,0,0,10,21,2,2,1,-3,1,10,0,7,0,1,1,1,1,25,32500,0,-1,5,40,0,0,0,0,0,0,0,8,2,0,0,0
151,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,INTP,41,36,57,49,43,96,88,76,47,7,77,70,43,27,93,57,87,63,60,3,2,2,2,0,0,12,23,1,2,2,2,1,2,4,0,0,0,11,1,2,40,72500,5,2,5,41,1,0,0,0,0,0,1,7,0,0,0,0
152,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ESFJ,50,46,47,64,49,56,75,60,28,7,67,63,30,27,70,60,63,60,60,0,1,1,2,1,0,7,23,2,2,1,-3,1,5,3,1,0,0,0,1,0,40,72500,0,-2,5,30,0,0,0,0,0,0,0,7,0,0,0,0
153,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ENFJ,88,23,44,70,92,85,90,99,7,3,100,93,100,60,97,60,87,43,57,0,3,3,3,1,0,8,23,2,3,2,-3,1,12,3,3,0,3,0,3,0,40,72500,0,-1,5,33,0,0,0,0,0,0,0,6,1,3,0,2
154,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ENTP,47,41,57,44,46,49,67,46,43,3,40,67,47,47,57,53,47,37,63,2,-1,1,-3,0,0,2,20,2,-2,0,1,1,0,1,3,0,0,0,0,1,30,17500,0,-3,4,63,1,0,0,0,0,0,1,7,0,0,0,2
155,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ENFP,70,34,53,60,68,75,82,86,46,3,83,67,77,73,80,80,77,67,67,2,1,2,2,0,0,5,20,2,2,6,2,1,10,4,7,0,1,0,1,0,40,50000,5,-3,7,32,0,0,0,0,0,0,0,7,0,1,0,0
156,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,INFP,31,21,40,44,24,72,90,43,49,5,40,73,7,37,87,63,53,43,70,3,-1,-1,3,3,1,5,37,-3,3,0,2,0,9,0,5,1,3,0,0,3,6,50000,0,1,5,57,1,0,0,0,0,0,1,7,1,0,0,2
157,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ENTJ,53,41,64,67,63,67,63,83,35,1,87,60,53,47,87,47,57,50,50,2,2,2,1,0,3,3,33,2,2,6,1,1,3,1,0,0,1,3,1,1,60,50000,0,3,3,48,0,0,0,0,0,0,0,6,0,0,1,0
158,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ISTP,24,47,77,63,42,75,33,63,32,8,60,27,40,33,80,57,47,80,23,3,1,2,0,0,0,5,21,1,1,0,-3,1,4,0,3,0,0,1,1,0,50,132500,0,2,5,62,1,0,0,0,0,1,0,8,5,0,0,0
159,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENTP,47,23,83,32,58,69,43,47,33,7,47,23,57,20,83,27,77,60,23,2,0,0,0,0,0,5,25,2,1,6,-3,1,2,0,0,0,0,0,1,2,45,72500,0,-2,7,30,0,0,0,0,0,0,0,7,5,0,0,0
160,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ISFJ,43,50,44,69,42,65,82,60,25,7,60,63,30,47,70,60,47,40,57,0,0,-2,-1,0,0,3,22,1,1,0,-3,0,0,0,0,0,0,0,0,0,15,72500,0,-2,2,28,0,0,0,0,0,0,0,7,1,0,0,0
